Dokumentnummer;Linjenummer;Dokumentversjon;Landingsdato;Fartøynavn;Fartøymerke;Art;Rundvekt;Halevekt
11976982;1;2;01.07.2026;Frøymann;TR-48-F;Breiflabb;56,000;20,000
11984119;1;2;01.08.2026;Sjøsvanen;TR-47-F;Breiflabb;336,000;120,000
11984092;1;2;01.08.2026;Øyavåg;ST-122-F;Breiflabb;313,600;112,000
11968439;1;2;02.06.2026;Frøymann;TR-48-F;Breiflabb;632,800;226,000
11968439;2;2;02.06.2026;Frøymann;TR-48-F;Breiflabb;19,600;7,000
11968572;1;2;02.06.2026;Junior;TR-195-F;Breiflabb;736,400;263,000
11977085;1;2;02.07.2026;Mercur;TR-11-F;Breiflabb;179,200;64,000
11977085;2;2;02.07.2026;Mercur;TR-11-F;Breiflabb;400,400;143,000
11977181;1;2;02.07.2026;Øyavåg;ST-122-F;Breiflabb;520,800;186,000
11984150;1;2;02.08.2026;Junior;TR-195-F;Breiflabb;84,000;30,000
11977373;1;2;03.07.2026;Frøyfisk;ST-23-F;Breiflabb;109,200;39,000
11977373;2;2;03.07.2026;Frøyfisk;ST-23-F;Breiflabb;169,400;60,500
11977511;1;2;03.07.2026;Frøymann;TR-48-F;Breiflabb;282,800;101,000
11977431;1;2;03.07.2026;Junior;TR-195-F;Breiflabb;663,600;237,000
11977502;1;2;03.07.2026;Øyavåg;ST-122-F;Breiflabb;165,200;59,000
11929970;1;2;04.03.2026;Frøymann;TR-48-F;Breiflabb;28,000;10,000
11969099;1;2;04.06.2026;Frøyfisk;ST-23-F;Breiflabb;103,600;37,000
11969099;2;2;04.06.2026;Frøyfisk;ST-23-F;Breiflabb;207,200;74,000
11969370;1;2;04.06.2026;Frøymann;TR-48-F;Breiflabb;596,400;213,000
11969370;2;2;04.06.2026;Frøymann;TR-48-F;Breiflabb;14,000;5,000
11984773;1;2;04.08.2026;Frøymann;TR-48-F;Breiflabb;268,800;96,000
11984773;2;2;04.08.2026;Frøymann;TR-48-F;Breiflabb;179,200;64,000
11984773;3;2;04.08.2026;Frøymann;TR-48-F;Breiflabb;8,400;3,000
11984769;1;2;04.08.2026;Sjøsvanen;TR-47-F;Breiflabb;190,400;68,000
11930464;1;2;05.03.2026;Frøymann;TR-48-F;Breiflabb;28,000;10,000
11960784;1;2;05.05.2026;Frøymann;TR-48-F;Breiflabb;5,600;2,000
11960738;8;2;05.05.2026;Junior;TR-195-F;Breiflabb;8,400;3,000
11969926;1;2;05.06.2026;Junior;TR-195-F;Breiflabb;719,600;257,000
11969907;1;2;05.06.2026;Sjøsvanen;TR-47-F;Breiflabb;366,800;131,000
11969907;2;2;05.06.2026;Sjøsvanen;TR-47-F;Breiflabb;655,200;234,000
11984862;1;2;05.08.2026;Frøyfisk;ST-23-F;Breiflabb;396,200;141,500
11984862;2;2;05.08.2026;Frøyfisk;ST-23-F;Breiflabb;303,800;108,500
11984955;1;2;05.08.2026;Junior;TR-195-F;Breiflabb;445,200;159,000
11984955;2;2;05.08.2026;Junior;TR-195-F;Breiflabb;112,000;40,000
11984874;1;2;05.08.2026;Mercur;TR-11-F;Breiflabb;65,800;23,500
11984874;2;2;05.08.2026;Mercur;TR-11-F;Breiflabb;259,000;92,500
11985081;1;2;05.08.2026;Øyavåg;ST-122-F;Breiflabb;509,600;182,000
11918049;9;2;06.02.2026;Frøyfisk;ST-23-F;Breiflabb;9,000;3,214
11978225;1;2;06.07.2026;Øyavåg;ST-122-F;Breiflabb;159,600;57,000
11985325;1;2;06.08.2026;Frøymann;TR-48-F;Breiflabb;14,000;5,000
11931420;2;2;07.03.2026;Sjøsvanen;TR-47-F;Breiflabb;72,800;26,000
11948573;7;2;07.04.2026;Sjøsvanen;TR-47-F;Breiflabb;36,400;13,000
11978401;1;2;07.07.2026;Frøyfisk;ST-23-F;Breiflabb;103,600;37,000
11978401;2;2;07.07.2026;Frøyfisk;ST-23-F;Breiflabb;226,800;81,000
11978402;1;2;07.07.2026;Frøymann;TR-48-F;Breiflabb;436,800;156,000
11978475;1;2;07.07.2026;Junior;TR-195-F;Breiflabb;520,800;186,000
11978374;1;2;07.07.2026;Øyavåg;ST-122-F;Breiflabb;224,000;80,000
11985752;5;2;07.08.2026;Sjøsvanen;TR-47-F;Breiflabb;435,400;155,500
11985718;1;2;07.08.2026;Øyavåg;ST-122-F;Breiflabb;428,400;153,000
11931513;7;2;08.03.2026;Sjøsvanen;TR-47-F;Breiflabb;11,200;4,000
11949833;1;2;08.04.2026;Frøymann;TR-48-F;Breiflabb;56,000;20,000
11949922;8;2;08.04.2026;Sjøsvanen;TR-47-F;Breiflabb;21,000;7,500
11970242;1;2;08.06.2026;Frøyfisk;ST-23-F;Breiflabb;530,600;189,500
11970242;2;2;08.06.2026;Frøyfisk;ST-23-F;Breiflabb;240,800;86,000
11978518;1;2;08.07.2026;Mercur;TR-11-F;Breiflabb;203,000;72,500
11978518;2;2;08.07.2026;Mercur;TR-11-F;Breiflabb;935,200;334,000
11907703;1;3;09.01.2026;Frøymann;TR-48-F;Breiflabb;8,400;3,000
11931912;4;2;09.03.2026;Sjøsvanen;TR-47-F;Breiflabb;15,400;5,500
11950133;7;2;09.04.2026;Sjøsvanen;TR-47-F;Breiflabb;12,600;4,500
11970802;1;2;09.06.2026;Frøymann;TR-48-F;Breiflabb;641,200;229,000
11970802;2;2;09.06.2026;Frøymann;TR-48-F;Breiflabb;7,000;2,500
11970954;1;3;09.06.2026;Junior;TR-195-F;Breiflabb;1117,200;399,000
11970916;1;2;09.06.2026;Sjøsvanen;TR-47-F;Breiflabb;679,000;242,500
11970735;3;2;09.06.2026;Øyavåg;ST-122-F;Breiflabb;104,160;37,200
11978811;1;2;09.07.2026;Frøyfisk;ST-23-F;Breiflabb;205,800;73,500
11978811;2;2;09.07.2026;Frøyfisk;ST-23-F;Breiflabb;240,800;86,000
11979058;1;2;09.07.2026;Frøymann;TR-48-F;Breiflabb;263,200;94,000
11986111;1;2;09.08.2026;Junior;TR-195-F;Breiflabb;560,000;200,000
11932736;1;2;10.03.2026;Frøymann;TR-48-F;Breiflabb;8,400;3,000
11950960;9;2;10.04.2026;Frøymann;TR-48-F;Breiflabb;33,600;12,000
11979189;1;2;10.07.2026;Frøymann;TR-48-F;Breiflabb;324,800;116,000
11979174;1;2;10.07.2026;Øyavåg;ST-122-F;Breiflabb;420,000;150,000
11986466;1;2;10.08.2026;Frøymann;TR-48-F;Breiflabb;553,000;197,500
11986466;2;2;10.08.2026;Frøymann;TR-48-F;Breiflabb;547,400;195,500
11986466;3;2;10.08.2026;Frøymann;TR-48-F;Breiflabb;4,200;1,500
11986592;1;2;10.08.2026;Sjøsvanen;TR-47-F;Breiflabb;459,200;164,000
11986544;1;2;10.08.2026;Øyavåg;ST-122-F;Breiflabb;761,600;272,000
11971553;1;3;11.06.2026;Frøymann;TR-48-F;Breiflabb;327,600;117,000
11979534;1;2;11.07.2026;Junior;TR-195-F;Breiflabb;509,600;182,000
11979513;1;2;11.07.2026;Mercur;TR-11-F;Breiflabb;186,200;66,500
11979513;2;2;11.07.2026;Mercur;TR-11-F;Breiflabb;470,400;168,000
11986653;1;2;11.08.2026;Frøyfisk;ST-23-F;Breiflabb;386,400;138,000
11986653;2;2;11.08.2026;Frøyfisk;ST-23-F;Breiflabb;432,600;154,500
11986663;1;2;11.08.2026;Mercur;TR-11-F;Breiflabb;159,600;57,000
11986663;2;2;11.08.2026;Mercur;TR-11-F;Breiflabb;537,600;192,000
11920686;1;2;12.02.2026;Frøymann;TR-48-F;Breiflabb;33,600;12,000
11934472;1;2;12.03.2026;Frøymann;TR-48-F;Breiflabb;19,600;7,000
11963029;1;2;12.05.2026;Frøymann;TR-48-F;Breiflabb;42,000;15,000
11963029;2;2;12.05.2026;Frøymann;TR-48-F;Breiflabb;2,800;1,000
11971911;1;2;12.06.2026;Junior;TR-195-F;Breiflabb;551,600;197,000
11987101;1;2;12.08.2026;Frøymann;TR-48-F;Breiflabb;86,800;31,000
11987101;2;2;12.08.2026;Frøymann;TR-48-F;Breiflabb;19,600;7,000
11987133;1;2;12.08.2026;Øyavåg;ST-122-F;Breiflabb;280,000;100,000
11935089;1;2;13.03.2026;Frøymann;TR-48-F;Breiflabb;22,400;8,000
11935086;1;2;13.03.2026;Junior;TR-195-F;Breiflabb;8,400;3,000
11963398;1;2;13.05.2026;Frøymann;TR-48-F;Breiflabb;8,400;3,000
11971995;1;2;13.06.2026;Frøyfisk;ST-23-F;Breiflabb;158,200;56,500
11971995;2;2;13.06.2026;Frøyfisk;ST-23-F;Breiflabb;238,000;85,000
11972094;1;2;13.06.2026;Sjøsvanen;TR-47-F;Breiflabb;669,200;239,000
11972018;1;2;13.06.2026;Øyavåg;ST-122-F;Breiflabb;126,000;45,000
11979638;1;2;13.07.2026;Frøyfisk;ST-23-F;Breiflabb;393,400;140,500
11979638;2;2;13.07.2026;Frøyfisk;ST-23-F;Breiflabb;347,200;124,000
11979905;1;2;13.07.2026;Sjøsvanen;TR-47-F;Breiflabb;520,800;186,000
11987368;1;2;13.08.2026;Junior;TR-195-F;Breiflabb;414,400;148,000
11987368;3;2;13.08.2026;Junior;TR-195-F;Breiflabb;5,600;2,000
11953981;1;2;14.04.2026;Frøymann;TR-48-F;Breiflabb;19,600;7,000
11980084;1;2;14.07.2026;Frøymann;TR-48-F;Breiflabb;865,200;309,000
11988013;1;2;14.08.2026;Sjøsvanen;TR-47-F;Breiflabb;425,600;152,000
11987775;1;2;14.08.2026;Øyavåg;ST-122-F;Breiflabb;246,400;88,000
11980296;1;2;15.07.2026;Mercur;TR-11-F;Breiflabb;100,800;36,000
11980296;2;2;15.07.2026;Mercur;TR-11-F;Breiflabb;432,600;154,500
11988138;1;2;15.08.2026;Frøyfisk;ST-23-F;Breiflabb;413,000;147,500
11988138;2;2;15.08.2026;Frøyfisk;ST-23-F;Breiflabb;424,200;151,500
11937564;1;2;16.03.2026;Junior;TR-195-F;Breiflabb;7,200;2,571
11955715;12;2;16.04.2026;Frøymann;TR-48-F;Breiflabb;8,400;3,000
11972611;1;3;16.06.2026;Frøymann;TR-48-F;Breiflabb;450,800;161,000
11972544;1;2;16.06.2026;Junior;TR-195-F;Breiflabb;966,000;345,000
11972531;1;2;16.06.2026;Øyavåg;ST-122-F;Breiflabb;98,000;35,000
11980572;1;2;16.07.2026;Frøymann;TR-48-F;Breiflabb;154,000;55,000
11980589;1;3;16.07.2026;Junior;TR-195-F;Breiflabb;739,200;264,000
11922574;1;2;17.02.2026;Sjøsvanen;TR-47-F;Breiflabb;5,000;1,786
11938523;1;2;17.03.2026;Frøymann;TR-48-F;Breiflabb;16,800;6,000
11938814;1;2;17.03.2026;Junior;TR-195-F;Breiflabb;10,800;3,857
11956054;12;2;17.04.2026;Frøymann;TR-48-F;Breiflabb;11,200;4,000
11973118;1;2;17.06.2026;Sjøsvanen;TR-47-F;Breiflabb;742,000;265,000
11980609;1;2;17.07.2026;Frøyfisk;ST-23-F;Breiflabb;257,600;92,000
11980609;2;2;17.07.2026;Frøyfisk;ST-23-F;Breiflabb;270,200;96,500
11980663;1;2;17.07.2026;Frøymann;TR-48-F;Breiflabb;299,600;107,000
11980730;1;2;17.07.2026;Sjøsvanen;TR-47-F;Breiflabb;364,000;130,000
11980654;1;2;17.07.2026;Øyavåg;ST-122-F;Breiflabb;254,800;91,000
11988628;1;2;17.08.2026;Frøymann;TR-48-F;Breiflabb;733,600;262,000
11988628;2;2;17.08.2026;Frøymann;TR-48-F;Breiflabb;9,800;3,500
11988634;1;2;17.08.2026;Frøymann;TR-48-F;Breiflabb;215,600;77,000
11988656;1;3;17.08.2026;Sjøsvanen;TR-47-F;Breiflabb;238,000;85,000
11988510;1;2;17.08.2026;Øyavåg;ST-122-F;Breiflabb;529,200;189,000
11973201;1;2;18.06.2026;Frøyfisk;ST-23-F;Breiflabb;169,400;60,500
11973201;2;2;18.06.2026;Frøyfisk;ST-23-F;Breiflabb;310,800;111,000
11988805;1;2;18.08.2026;Junior;TR-195-F;Breiflabb;476,000;170,000
11988813;1;2;18.08.2026;Øyavåg;ST-122-F;Breiflabb;212,800;76,000
11910149;8;3;19.01.2026;Frøymann;TR-48-F;Breiflabb;7,000;2,500
11923724;1;2;19.02.2026;Sjøsvanen;TR-47-F;Breiflabb;4,000;1,429
11939624;1;2;19.03.2026;Frøymann;TR-48-F;Breiflabb;8,400;3,000
11973663;1;2;19.06.2026;Frøymann;TR-48-F;Breiflabb;394,800;141,000
11973663;2;2;19.06.2026;Frøymann;TR-48-F;Breiflabb;67,200;24,000
11973880;1;2;19.06.2026;Junior;TR-195-F;Breiflabb;856,800;306,000
11973654;1;2;19.06.2026;Øyavåg;ST-122-F;Breiflabb;61,040;21,800
11989199;1;2;19.08.2026;Frøymann;TR-48-F;Breiflabb;316,400;113,000
11989014;1;2;19.08.2026;Mercur;TR-11-F;Breiflabb;67,200;24,000
11989014;2;2;19.08.2026;Mercur;TR-11-F;Breiflabb;138,600;49,500
11939765;1;2;20.03.2026;Frøymann;TR-48-F;Breiflabb;14,000;5,000
11957496;7;2;20.04.2026;Sjøsvanen;TR-47-F;Breiflabb;26,600;9,500
11981211;1;2;20.07.2026;Junior;TR-195-F;Breiflabb;571,200;204,000
11981100;1;2;20.07.2026;Øyavåg;ST-122-F;Breiflabb;173,600;62,000
11989306;1;2;20.08.2026;Frøyfisk;ST-23-F;Breiflabb;406,000;145,000
11989306;2;2;20.08.2026;Frøyfisk;ST-23-F;Breiflabb;516,600;184,500
11924672;1;3;21.02.2026;Sjøsvanen;TR-47-F;Breiflabb;3,000;1,071
11957984;11;2;21.04.2026;Frøymann;TR-48-F;Breiflabb;25,200;9,000
11957939;8;2;21.04.2026;Sjøsvanen;TR-47-F;Breiflabb;4,200;1,500
11981456;1;2;21.07.2026;Frøyfisk;ST-23-F;Breiflabb;267,400;95,500
11981456;2;2;21.07.2026;Frøyfisk;ST-23-F;Breiflabb;289,800;103,500
11981435;1;2;21.07.2026;Frøymann;TR-48-F;Breiflabb;218,400;78,000
11981278;1;2;21.07.2026;Mercur;TR-11-F;Breiflabb;260,400;93,000
11981278;2;2;21.07.2026;Mercur;TR-11-F;Breiflabb;642,600;229,500
11989962;1;2;21.08.2026;Sjøsvanen;TR-47-F;Breiflabb;537,600;192,000
11989884;3;2;21.08.2026;Øyavåg;ST-122-F;Breiflabb;725,200;259,000
11925055;1;2;22.02.2026;Sjøsvanen;TR-47-F;Breiflabb;3,000;1,071
